(0) Index,(1) INDICATOR (n),"(2) INDICATOR QUALITY (3) (g, y, r)",(3) DATASETS AVAILABLE (Hyperlink),"(4) PBSB CATEGORY (5) ((1, 2, 3, 4, 5))",(5) WB CATEGORY (Theme),"(6) INDICATOR TYPE (2) (SbPb, Ops)",(7) INDICATOR COUNTRY (or region)(n=129 (incl 7 regions) (193),(8) INDICATOR SOURCE,(9) COMMENTS (n),(10) Notes,,,,,,,
2901,Tourist perception of quality of SMEs products [Municipality of Limon],,,4,,,Costa Rica,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P085539; BH | Sub-national government administration, JB | Other social services, TP | Ports, waterways and shipping, WZ | General water, sanitation and flood protection sector, YZ | General industry and trade sector, 0057 | Participation and civic engagement, 0071 | Urban services and housing for the poor, 0073 | Municipal governance and institution building, 0102 | City-wide Infrastructure and Service Delivery, 0104 | Cultural Heritage; PDO Indicator; Text",,,,,,,,,
2902,"Vaccination coverage (Tetravalente, and Hepatitis B) increased to 95% in urban areas",,,5,,,Brazil,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P083997; AZ | General agriculture, fishing and forestry sector, BH | Sub-national government administration, JA | Health, WZ | General water, sanitation and flood protection sector, YZ | General industry and trade sector, 0067 | Health system performance, 0070 | Other human development, 0079 | Other rural development, , ; PDO Indicator; Percentage",,,,,,,,,
2903,"Value of principal productive assets (capital goods, livestock, equipment, tools, etc.) of 75% of beneficiaries of Territorial Development Plans increased by 30%",,,4,,,Peru,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P079165; AZ | General agriculture, fishing and forestry sector, BZ | General public administration sector, JB | Other social services, YA | Agro-industry, marketing, and trade, YZ | General industry and trade sector, 0058 | Conflict prevention and post-conflict reconstruction, 0060 | Indigenous peoples, 0068 | Nutrition and food security, 0075 | Rural markets, 0076 | Rural non-farm income generation; PDO Indicator; Text",rewording needed,,,,,,,,
2904,Violence prevention components of Municipal Coexistence and Citizen Security Plans designed and implemented following a cross sectoral and evidence-informed approach,,,2,,,Honduras,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P130819; BG | Law and justice, BH | Sub-national government administration, BZ | General public administration sector, JB | Other social services, , 0055 | Vulnerability assessment and monitoring, 0057 | Participation and civic engagement, 0059 | Gender, 0074 | Other urban development, 0100 | Social Inclusion; PDO Indicator; Number",rewording needed,,,,,,,,
2905,Water conflicts reduced by,,,"3, 5",,,Peru,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P107666; BW | Public administration- Water, sanitation and flood protection, , , , , 0081 | Climate change, 0084 | Pollution management and environmental health, 0085 | Water resource management, , ; PDO Indicator; Percentage",rewording needed,,,,,,,,
2906,% reduction of repetition rates in cycles 2 and 3 of basic education in project schools,,,5,,,Lebanon,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P118187; EC | Pre-primary education, EP | Primary education, ES | Secondary education, EZ | General education sector, , 0065 | Education for all, 0066 | Education for the knowledge economy, , , ; PDO Indicator; Percentage",rewording needed,,,,,,,,
2907,Adoption of Performance Based Block Grants (system) by MOMA,,,5,,,Jordan,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P070958; BC | Central government administration, BH | Sub-national government administration, FA | Banking, TZ | General transportation sector, WZ | General water, sanitation and flood protection sector, 0026 | Decentralization, 0071 | Urban services and housing for the poor, 0072 | Municipal finance, 0073 | Municipal governance and institution building, 0101 | Urban planning and housing policy; PDO Indicator; Text",rewording needed,,,,,,,,
2908,Area protected from flooding Taiz,,,5,,,"Yemen, Republic of","http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P070092; BH | Sub-national government administration, JB | Other social services, WD | Flood protection, , , 0026 | Decentralization, 0052 | Natural disaster management, 0062 | Other social development, 0073 | Municipal governance and institution building, 0085 | Water resource management; PDO Indicator; Hectare(Ha)",rewording needed,,,,,,,,
2909,Average daily revenue per Park-meter installed under the project,,,5,,,Lebanon,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P034038; BC | Central government administration, TC | Urban Transport, , , , 0047 | Regional integration, 0073 | Municipal governance and institution building, 0102 | City-wide Infrastructure and Service Delivery, , ; PDO Indicator; Amount(USD)",rewording needed,,,,,,,,
2910,Average reduction in travel time for villagers to reach markets/services.,,,5,,,Iraq,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P087735; BC | Central government administration, TI | Rural and Inter-Urban Roads and Highways, , , , 0051 | Improving labor markets, 0058 | Conflict prevention and post-conflict reconstruction, 0078 | Rural services and infrastructure, 0089 | Injuries and non-communicable diseases, ; PDO Indicator; Text",,,,,,,,,
2911,Beneficiaries having access to improved production means,,,4,,,Tunisia,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P086660; AH | Crops, AI | Irrigation and drainage, AT | Forestry, AZ | General agriculture, fishing and forestry sector, BL | Public administration- Agriculture, fishing and forestry, 0077 | Rural policies and institutions, 0078 | Rural services and infrastructure, 0081 | Climate change, 0083 | Land administration and management, 0085 | Water resource management; PDO Indicator; Number",,,,,,,,,
2912,Citizens reporting MOSA?s improved responsiveness in delivering social assistance and development grants,,,5,,,Lebanon,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P124761; BS | Public administration- Other social services, JB | Other social services, , , , 0054 | Social safety nets, 0055 | Vulnerability assessment and monitoring, 0056 | Other social protection and risk management, 0087 | Social risk mitigation, ; PDO Indicator; Percentage",rewording needed,,,,,,,,
2913,Citizens services provided by Taiz local administration at the local council buildings,,,5,,,"Yemen, Republic of","http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P070092; BH | Sub-national government administration, JB | Other social services, WD | Flood protection, , , 0026 | Decentralization, 0052 | Natural disaster management, 0062 | Other social development, 0073 | Municipal governance and institution building, 0085 | Water resource management; PDO Indicator; Number",rewording needed,,,,,,,,
2915,Improved access to vocational training (trainees enrolled per year),,,4,,,"Yemen, Republic of","http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P122594; BH | Sub-national government administration, EZ | General education sector, JA | Health, TZ | General transportation sector, WZ | General water, sanitation and flood protection sector, 0054 | Social safety nets, 0078 | Rural services and infrastructure, , , ; PDO Indicator; Number",rewording needed,,,,,,,,
2916,Improved accessibility of local council services from one central location,,,5,,,"Yemen, Republic of","http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P070092; BH | Sub-national government administration, JB | Other social services, WD | Flood protection, , , 0026 | Decentralization, 0052 | Natural disaster management, 0062 | Other social development, 0073 | Municipal governance and institution building, 0085 | Water resource management; PDO Indicator; Yes/No",rewording needed,,,,,,,,
2917,Improved enrollment capacity (student per year),,,4,,,"Yemen, Republic of","http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P122594; BH | Sub-national government administration, EZ | General education sector, JA | Health, TZ | General transportation sector, WZ | General water, sanitation and flood protection sector, 0054 | Social safety nets, 0078 | Rural services and infrastructure, , , ; PDO Indicator; Number",rewording needed,,,,,,,,
2918,Improved quality and timeliness of National Accounts estimates,,,5,,,West Bank and Gaza,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P118560; BO | Public administration- Financial Sector, FZ | General finance sector, , , , 0022 | Economic statistics, modeling and forecasting, 0023 | Macroeconomic management, 0034 | Legal institutions for a market economy, 0054 | Social safety nets, ; PDO Indicator; Text",rewording needed,,,,,,,,
2919,Improved scores of participating schools in ECERS (Early Childhood Environment Rating Scale),,,5,,,Lebanon,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P118187; EC | Pre-primary education, EP | Primary education, ES | Secondary education, EZ | General education sector, , 0065 | Education for all, 0066 | Education for the knowledge economy, , , ; PDO Indicator; Percentage",rewording needed,,,,,,,,
2920,Increase in direct solid waste collection Taiz,,,5,,,"Yemen, Republic of","http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P070092; BH | Sub-national government administration, JB | Other social services, WD | Flood protection, , , 0026 | Decentralization, 0052 | Natural disaster management, 0062 | Other social development, 0073 | Municipal governance and institution building, 0085 | Water resource management; PDO Indicator; Metric ton",,,,,,,,,
2921,Increase in locally generated revenues,,,5,,,"Yemen, Republic of","http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P070092; BH | Sub-national government administration, JB | Other social services, WD | Flood protection, , , 0026 | Decentralization, 0052 | Natural disaster management, 0062 | Other social development, 0073 | Municipal governance and institution building, 0085 | Water resource management; PDO Indicator; Percentage",,,,,,,,,
2922,Increase in percentage of fish sold as fresh/frozen at retail,,,4,,,"Yemen, Republic of","http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P086886; AJ | Animal production, BC | Central government administration, TP | Ports, waterways and shipping, , , 0076 | Rural non-farm income generation, 0079 | Other rural development, , , ; PDO Indicator; Percentage",rewording needed,,,,,,,,
2923,Increase in quantities of wastewater treated and properly disposed,,,5,,,West Bank and Gaza,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P074595; WA | Sanitation, WV | Wastewater Treatment and Disposal, , , , 0070 | Other human development, 0084 | Pollution management and environmental health, 0085 | Water resource management, , ; PDO Indicator; Text",,,,,,,,,
2924,Increase in the awareness of the public in the selected judicial districts,,,3,,,Morocco,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P125799; BG | Law and justice, , , , , 0027 | Public expenditure, financial management and procurement, 0031 | Access to law and justice, 0032 | Judicial and other dispute resolution mechanisms, 0059 | Gender, 0094 | e-Government; PDO Indicator; Number",rewording needed,,,,,,,,
2925,"Increase in the number of firms (MSMEs, women, marginalized) receiving MoNE services to plan for business development",,,4,,,West Bank and Gaza,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P126586; BM | Public administration- Information and communications, BT | Public administration- Industry and trade, , , , 0041 | Micro, Small and Medium Enterprise support, 0094 | e-Government, , , ; PDO Indicator; Number",rewording needed,,,,,,,,
2926,Increase in the number of heads of large ruminants with more secure access to water within a reasonable distance (20 km radius) in the project areas,,,4,,,Djibouti,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P117355; AB | Agricultural extension and research, AI | Irrigation and drainage, AJ | Animal production, BL | Public administration- Agriculture, fishing and forestry, WC | Water supply, 0076 | Rural non-farm income generation, 0077 | Rural policies and institutions, 0078 | Rural services and infrastructure, 0079 | Other rural development, 0085 | Water resource management; PDO Indicator; Number",rewording needed,,,,,,,,
2927,Increase in the percentage of land covered by perennial plantations and improved pasture,,,4,,,Tunisia,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P119140; AB | Agricultural extension and research, AI | Irrigation and drainage, AJ | Animal production, AZ | General agriculture, fishing and forestry sector, TI | Rural and Inter-Urban Roads and Highways, 0076 | Rural non-farm income generation, 0077 | Rural policies and institutions, 0078 | Rural services and infrastructure, 0079 | Other rural development, ; PDO Indicator; Percentage",rewording needed,,,,,,,,
2928,Increase in the percentage of land under soil/water conservation management,,,4,,,Tunisia,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P119140; AB | Agricultural extension and research, AI | Irrigation and drainage, AJ | Animal production, AZ | General agriculture, fishing and forestry sector, TI | Rural and Inter-Urban Roads and Highways, 0076 | Rural non-farm income generation, 0077 | Rural policies and institutions, 0078 | Rural services and infrastructure, 0079 | Other rural development, ; PDO Indicator; Percentage",,,,,,,,,
2929,Increase in total no. of MSME loans in PFI portfolios,,,"4, 5",,,Tunisia,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P124341; FH | SME Finance, , , , , 0041 | Micro, Small and Medium Enterprise support, , , , ; PDO Indicator; Percentage",rewording needed,,,,,,,,
2930,Increase in value of properties in targeted cities,,,4,,,Jordan,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P081823; BC | Central government administration, BH | Sub-national government administration, JB | Other social services, TC | Urban Transport, YW | Other industry, 0041 | Micro, Small and Medium Enterprise support, 0073 | Municipal governance and institution building, 0102 | City-wide Infrastructure and Service Delivery, 0103 | Urban Economic Development, 0104 | Cultural Heritage; PDO Indicator; Percentage",clarification needed,,,,,,,,
2931,Increased private sector investments: percentage of businesses investing in their business or property development,,,4,,,Lebanon,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P050529; BC | Central government administration, BH | Sub-national government administration, TC | Urban Transport, WZ | General water, sanitation and flood protection sector, YW | Other industry, 0057 | Participation and civic engagement, 0073 | Municipal governance and institution building, 0104 | Cultural Heritage, , ; PDO Indicator; Percentage",clarification needed,,,,,,,,
2932,Increased satisfaction of users and court personnel with service quality,,,3,,,Morocco,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P125799; BG | Law and justice, , , , , 0027 | Public expenditure, financial management and procurement, 0031 | Access to law and justice, 0032 | Judicial and other dispute resolution mechanisms, 0059 | Gender, 0094 | e-Government; PDO Indicator; Percentage",rewording needed,,,,,,,,
2933,"Increased tourism and heritage related local employment: Number of individuals working in the sector of culture, tourism, and heritage related local businesses.",,,4,,,Lebanon,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P050529; BC | Central government administration, BH | Sub-national government administration, TC | Urban Transport, WZ | General water, sanitation and flood protection sector, YW | Other industry, 0057 | Participation and civic engagement, 0073 | Municipal governance and institution building, 0104 | Cultural Heritage, , ; PDO Indicator; Number",,,,,,,,,
2934,Indicator Two: Increase in the number of heads of livestock with more secure access to water within a reasonable distance (20 km radius) in the project areas,,,4,,,Djibouti,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P117355; AB | Agricultural extension and research, AI | Irrigation and drainage, AJ | Animal production, BL | Public administration- Agriculture, fishing and forestry, WC | Water supply, 0076 | Rural non-farm income generation, 0077 | Rural policies and institutions, 0078 | Rural services and infrastructure, 0079 | Other rural development, 0085 | Water resource management; PDO Indicator; Number",rewording needed,,,,,,,,
2935,Institutional capacity of MdJL to monitor the performance of pilot courts,,,3,,,Morocco,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P125799; BG | Law and justice, , , , , 0027 | Public expenditure, financial management and procurement, 0031 | Access to law and justice, 0032 | Judicial and other dispute resolution mechanisms, 0059 | Gender, 0094 | e-Government; PDO Indicator; Number",rewording needed,,,,,,,,
2936,Irrigaton costs including pumping (EGP/fed) and Labour (EGP/fed),,,"4, 5",,,"Egypt, Arab Republic of","http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P073977; AI | Irrigation and drainage, BC | Central government administration, WA | Sanitation, WB | Solid waste management, , 0026 | Decentralization, 0057 | Participation and civic engagement, 0077 | Rural policies and institutions, 0078 | Rural services and infrastructure, 0085 | Water resource management; PDO Indicator; Text",rewording needed,,,,,,,,
2937,Reduced in travel time in the affected areas ie. Hadhramout only,,,5,,,"Yemen, Republic of","http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P070092; BH | Sub-national government administration, JB | Other social services, WD | Flood protection, , , 0026 | Decentralization, 0052 | Natural disaster management, 0062 | Other social development, 0073 | Municipal governance and institution building, 0085 | Water resource management; PDO Indicator; Hours",rewording needed,,,,,,,,
2938,% of districts using the personnel information system for paying salaries of health workers (accountability and efficiency),,,5,,,India,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P100304; BQ | Public administration- Health, JA | Health, , , , 0063 | Child health, 0067 | Health system performance, 0069 | Population and reproductive health, , ; PDO Indicator; Percentage",rewording needed,,,,,,,,
2939,% of districts with completed and published facility-based report cards detailing national health programs indicators and facility-level performance data (efficiency and accountability),,,5,,,India,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P100304; BQ | Public administration- Health, JA | Health, , , , 0063 | Child health, 0067 | Health system performance, 0069 | Population and reproductive health, , ; PDO Indicator; Percentage",rewording needed,,,,,,,,
2940,"% of hospitals under the accreditation program that annually produce data and monitor:service productivity, efficiency, quality, patient satisfaction &accountability(efficiency,quality &accountabiliy)",,,5,,,India,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P100304; BQ | Public administration- Health, JA | Health, , , , 0063 | Child health, 0067 | Health system performance, 0069 | Population and reproductive health, , ; PDO Indicator; Percentage",rewording needed,,,,,,,,
2941,"1. Strengthen empowerment and institutional capacity of ULBs by continuing delegation of powers, capacity building programs and specific IT related initiatives.",,,"1, 5",,,India,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P083780; BH | Sub-national government administration, TI | Rural and Inter-Urban Roads and Highways, WZ | General water, sanitation and flood protection sector, , , 0071 | Urban services and housing for the poor, 0072 | Municipal finance, 0073 | Municipal governance and institution building, 0102 | City-wide Infrastructure and Service Delivery, ; PDO Indicator; Text",rewording needed,,,,,,,,
2942,30% increase in irrigation potential in target areas,,,4,,,India,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P093720; AZ | General agriculture, fishing and forestry sector, BH | Sub-national government administration, JB | Other social services, TI | Rural and Inter-Urban Roads and Highways, YA | Agro-industry, marketing, and trade, 0057 | Participation and civic engagement, 0059 | Gender, 0077 | Rural policies and institutions, 0078 | Rural services and infrastructure, 0079 | Other rural development; PDO Indicator; Percentage",rewording needed,,,,,,,,
2943,40% of enterprises supported by the Project will still be operating 2 years after start-up (At least 35% of these will be female Enterprises),,,4,,,Afghanistan,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P110407; BC | Central government administration, BH | Sub-national government administration, FH | SME Finance, YZ | General industry and trade sector, , 0030 | Other public sector governance, 0041 | Micro, Small and Medium Enterprise support, 0059 | Gender, 0075 | Rural markets, 0078 | Rural services and infrastructure; PDO Indicator; Text",rewording needed,,,,,,,,
2944,Access to and use of public services on-line by business and citizens (2),,,"4, 5",,,Sri Lanka,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P081771; BC | Central government administration, BG | Law and justice, BZ | General public administration sector, CA | Information technology, CT | Telecommunications, 0025 | Administrative and civil service reform, 0039 | Infrastructure services for private sector development, 0041 | Micro, Small and Medium Enterprise support, 0078 | Rural services and infrastructure, ; PDO Indicator; Number",rewording needed,,,,,,,,
2945,AEPC - Number of additional rural households with access to electricity generated by micro-hydro schemes.,,,5,,,Nepal,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P043311; BC | Central government administration, FH | SME Finance, JB | Other social services, LH | Hydropower, LT | Transmission and Distribution of Electricity, 0027 | Public expenditure, financial management and procurement, 0041 | Micro, Small and Medium Enterprise support, 0078 | Rural services and infrastructure, 0081 | Climate change, 0099 | Other Private Sector Development; PDO Indicator; Text",rewording needed,,,,,,,,
2946,Area under high value crops,,,4,,,India,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P084792; AB | Agricultural extension and research, AI | Irrigation and drainage, AZ | General agriculture, fishing and forestry sector, TI | Rural and Inter-Urban Roads and Highways, YA | Agro-industry, marketing, and trade, 0075 | Rural markets, 0077 | Rural policies and institutions, 0078 | Rural services and infrastructure, 0079 | Other rural development, ; PDO Indicator; Text",,,,,,,,,
2947,At least 30% of project-benefited unemployed youths are employed,,,4,,,India,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P102330; BH | Sub-national government administration, JB | Other social services, , , , 0057 | Participation and civic engagement, 0075 | Rural markets, 0076 | Rural non-farm income generation, 0079 | Other rural development, 0100 | Social Inclusion; PDO Indicator; Percentage",rewording needed,,,,,,,,
2948,At least 45% increase in the number of identified poor households who have accessed services from formal financial institutions,,,4,,,India,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P104164; AZ | General agriculture, fishing and forestry sector, BL | Public administration- Agriculture, fishing and forestry, FI | Microfinance, JB | Other social services, YA | Agro-industry, marketing, and trade, 0059 | Gender, 0075 | Rural markets, 0076 | Rural non-farm income generation, 0077 | Rural policies and institutions, 0081 | Climate change; PDO Indicator; Percentage",rewording needed,,,,,,,,
2949,"At least 60% of all type of CBOs score ?Satisfactory? consistently in the Institutional Maturity Indicators (on parameters like organizational development, functioning, inclusiveness, accountability,",,,"1, 5",,,India,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P093478; AZ | General agriculture, fishing and forestry sector, BL | Public administration- Agriculture, fishing and forestry, YA | Agro-industry, marketing, and trade, , , 0057 | Participation and civic engagement, 0059 | Gender, 0075 | Rural markets, 0076 | Rural non-farm income generation, 0077 | Rural policies and institutions; PDO Indicator; Percentage",rewording needed,,,,,,,,
2950,At least 60% of project beneficiaries have access to financial services,,,4,,,Afghanistan,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P110407; BC | Central government administration, BH | Sub-national government administration, FH | SME Finance, YZ | General industry and trade sector, , 0030 | Other public sector governance, 0041 | Micro, Small and Medium Enterprise support, 0059 | Gender, 0075 | Rural markets, 0078 | Rural services and infrastructure; PDO Indicator; Amount(USD)",,,,,,,,,
2951,"At least 90% of eligible conflict-affected widows, orphans, those disabled in the conflict, families of those killed in the conflict, families of the disappeared, Internally Displaced Persons (IDPs),",,,3,,,Nepal,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P110762; BC | Central government administration, BZ | General public administration sector, JB | Other social services, , , 0054 | Social safety nets, 0058 | Conflict prevention and post-conflict reconstruction, , , ; PDO Indicator; Text",rewording needed,,,,,,,,
2952,At least 95% of identified eligible families of the deceased and widows receive cash payments following the project operational guidelines,,,"3,5",,,Nepal,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P110762; BC | Central government administration, BZ | General public administration sector, JB | Other social services, , , 0054 | Social safety nets, 0058 | Conflict prevention and post-conflict reconstruction, , , ; PDO Indicator; Text",rewording needed,,,,,,,,
2953,Average farm income of project beneficiaries (measured in Rs. per ha).,,,4,,,India,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P073370; AB | Agricultural extension and research, AI | Irrigation and drainage, AJ | Animal production, BH | Sub-national government administration, , 0025 | Administrative and civil service reform, 0077 | Rural policies and institutions, 0078 | Rural services and infrastructure, 0085 | Water resource management, ; PDO Indicator; Text",,,,,,,,,
2954,Average fish production productivity in reservoirs (measured in kg per ha of water spread area),,,4,,,India,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P073370; AB | Agricultural extension and research, AI | Irrigation and drainage, AJ | Animal production, BH | Sub-national government administration, , 0025 | Administrative and civil service reform, 0077 | Rural policies and institutions, 0078 | Rural services and infrastructure, 0085 | Water resource management, ; PDO Indicator; Text",,,,,,,,,
2955,Average fish productivity in village ponds (measured in kg per ha of water spread area),,,4,,,India,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P073370; AB | Agricultural extension and research, AI | Irrigation and drainage, AJ | Animal production, BH | Sub-national government administration, , 0025 | Administrative and civil service reform, 0077 | Rural policies and institutions, 0078 | Rural services and infrastructure, 0085 | Water resource management, ; PDO Indicator; Text",,,,,,,,,
2956,Decrease in journey times in the project area to key economic centers,,,"4, 5",,,Nepal,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P095977; BC | Central government administration, TI | Rural and Inter-Urban Roads and Highways, , , , 0039 | Infrastructure services for private sector development, 0078 | Rural services and infrastructure, , , ; PDO Indicator; Text",rewording needed,,,,,,,,
2957,Decrease in journey times in the project ares to key social centers,,,"4, 5",,,Nepal,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P095977; BC | Central government administration, TI | Rural and Inter-Urban Roads and Highways, , , , 0039 | Infrastructure services for private sector development, 0078 | Rural services and infrastructure, , , ; PDO Indicator; Text",rewording needed,,,,,,,,
2958,Effectively tracked and managed poverty reducing spending,,,5,,,Pakistan,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P076872; BC | Central government administration, BH | Sub-national government administration, FA | Banking, , , 0025 | Administrative and civil service reform, 0027 | Public expenditure, financial management and procurement, 0042 | International financial standards and systems, , ; PDO Indicator; Text",rewording needed,,,,,,,,
2959,Establishment of a national water resources database.,,,4,,,Nepal,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P099296; AB | Agricultural extension and research, AI | Irrigation and drainage, AZ | General agriculture, fishing and forestry sector, BC | Central government administration, BH | Sub-national government administration, 0077 | Rural policies and institutions, 0078 | Rural services and infrastructure, 0085 | Water resource management, , ; PDO Indicator; Text",,,,,,,,,
2960,Establishment of Water Users Organisations in Nagarjuna Sagar Scheme,,,4,,,India,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P100954; AI | Irrigation and drainage, AZ | General agriculture, fishing and forestry sector, BL | Public administration- Agriculture, fishing and forestry, BW | Public administration- Water, sanitation and flood protection, WZ | General water, sanitation and flood protection sector, 0077 | Rural policies and institutions, 0078 | Rural services and infrastructure, 0082 | Environmental policies and institutions, 0085 | Water resource management, ; PDO Indicator; Number",rewording needed,,,,,,,,
2961,Farmers adopting new agricultural technologies or management practices by size of landholding and type of farming system,,,5,,,Bangladesh,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P084078; AB | Agricultural extension and research, AH | Crops, AJ | Animal production, BC | Central government administration, BH | Sub-national government administration, 0057 | Participation and civic engagement, 0077 | Rural policies and institutions, 0078 | Rural services and infrastructure, , ; PDO Indicator; Text",,,,,,,,,
2962,"Four target agencies expand electronic government procurement (e-GP) to all 64 districts using national competitive bidding procurement (2013- 10%, 2014- 35%, 2014- 60%, 2016- 80%)",,,5,,,Bangladesh,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P098146; BC | Central government administration, BH | Sub-national government administration, CZ | General information and communications sector, JB | Other social services, , 0025 | Administrative and civil service reform, 0027 | Public expenditure, financial management and procurement, 0029 | Other accountability\anti-corruption, 0030 | Other public sector governance, 0057 | Participation and civic engagement; PDO Indicator; Text",rewording needed,,,,,,,,
2963,"Four target agencies publish PROMIS quarterly report for monitoring of procurement performance covering 90% of bids invited/ contracts awarded annually (2013- 20%, 2014- 50%, 2015- 70%, 2016- 90%)",,,5,,,Bangladesh,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P098146; BC | Central government administration, BH | Sub-national government administration, CZ | General information and communications sector, JB | Other social services, , 0025 | Administrative and civil service reform, 0027 | Public expenditure, financial management and procurement, 0029 | Other accountability\anti-corruption, 0030 | Other public sector governance, 0057 | Participation and civic engagement; PDO Indicator; Text",rewording needed,,,,,,,,
2964,Grievance mechanism operational,,,"1, 5",,,Nepal,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P110762; BC | Central government administration, BZ | General public administration sector, JB | Other social services, , , 0054 | Social safety nets, 0058 | Conflict prevention and post-conflict reconstruction, , , ; PDO Indicator; Text",,,,,,,,,
2965,Growth in power exchange between the regions,,,4,,,India,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P101653; LT | Transmission and Distribution of Electricity, , , , , 0039 | Infrastructure services for private sector development, , , , ; PDO Indicator; Text",rewording needed,,,,,,,,
2966,Improved access and use of ICT in target areas (1A),,,"4, 5",,,Sri Lanka,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P081771; BC | Central government administration, BG | Law and justice, BZ | General public administration sector, CA | Information technology, CT | Telecommunications, 0025 | Administrative and civil service reform, 0039 | Infrastructure services for private sector development, 0041 | Micro, Small and Medium Enterprise support, 0078 | Rural services and infrastructure, ; PDO Indicator; Number",rewording needed,,,,,,,,
2967,Improved access and use of ICT in target areas (1B)-E Society,,,"4, 5",,,Sri Lanka,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P081771; BC | Central government administration, BG | Law and justice, BZ | General public administration sector, CA | Information technology, CT | Telecommunications, 0025 | Administrative and civil service reform, 0039 | Infrastructure services for private sector development, 0041 | Micro, Small and Medium Enterprise support, 0078 | Rural services and infrastructure, ; PDO Indicator; Percentage",,,,,,,,,
